SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,OPEN_INT,CHG_IN_OI,COI_OI,COI_CHOI,COUNT
BANKNIFTY,13-APR-2020,19608.65,19855.7,19225.0,19539.05,80180,-1340,1169740,-46300,1
BANKNIFTY,13-APR-2020,19637.25,19897.5,19277.8,19590.05,5140,320,1169740,-46300,2
NIFTY,13-APR-2020,9010.0,9106.6,8903.0,9011.1,9731175,-297900,11519400,-285375,3
NIFTY,13-APR-2020,9056.0,9119.1,8921.2,9027.9,1625100,12975,11519400,-285375,4
NIFTY,13-APR-2020,9045.8,9110.0,8915.0,9022.25,163125,-450,11519400,-285375,5
BANKNIFTY,15-APR-2020,19986.0,20219.0,18661.4,18989.7,1255900,171480,1350220,180480,0
BANKNIFTY,15-APR-2020,19875.55,20246.0,18719.65,19032.8,87660,7480,1350220,180480,1
BANKNIFTY,15-APR-2020,19930.0,20290.7,18810.0,19075.9,6660,1520,1350220,180480,2
NIFTY,15-APR-2020,9189.95,9282.35,8846.7,8930.3,9121125,-610050,11068425,-450975,3
NIFTY,15-APR-2020,9199.0,9290.0,8857.3,8942.25,1724250,99150,11068425,-450975,4
NIFTY,15-APR-2020,9199.7,9283.2,8856.0,8950.45,223050,59925,11068425,-450975,5
BANKNIFTY,16-APR-2020,18905.35,19554.85,18601.0,19424.3,1319480,63580,1436480,86260,0
BANKNIFTY,16-APR-2020,18890.25,19561.2,18729.35,19449.2,109400,21740,1436480,86260,1
BANKNIFTY,16-APR-2020,18811.0,19639.85,18780.0,19473.7,7600,940,1436480,86260,2
NIFTY,16-APR-2020,8947.75,9089.0,8835.15,9035.45,9405375,284250,11318625,250200,3
NIFTY,16-APR-2020,8881.65,9097.15,8845.05,9051.35,1701375,-22875,11318625,250200,4
NIFTY,16-APR-2020,8871.1,9090.0,8860.0,9058.8,211875,-11175,11318625,250200,5
BANKNIFTY,17-APR-2020,20350.0,20934.2,19624.3,20748.8,1106040,-213440,1244580,-191900,0
BANKNIFTY,17-APR-2020,20325.45,20939.0,19650.0,20741.75,129720,20320,1244580,-191900,1
BANKNIFTY,17-APR-2020,20437.3,20943.35,19730.0,20786.8,8820,1220,1244580,-191900,2
NIFTY,17-APR-2020,9345.0,9350.0,9105.0,9311.3,9522150,116775,11551050,232425,3
NIFTY,17-APR-2020,9330.3,9361.6,9127.05,9335.95,1804350,102975,11551050,232425,4
NIFTY,17-APR-2020,9250.0,9360.0,9126.45,9337.2,224550,12675,11551050,232425,5
BANKNIFTY,20-APR-2020,21086.85,21099.85,20374.0,20482.2,1130240,24200,1273840,29260,0
BANKNIFTY,20-APR-2020,21010.9,21080.0,20390.05,20490.8,134820,5100,1273840,29260,1
BANKNIFTY,20-APR-2020,21051.1,21103.15,20450.0,20515.1,8780,-40,1273840,29260,2
NIFTY,20-APR-2020,9332.05,9384.75,9215.0,9260.5,9397725,-124425,11654325,103275,3
NIFTY,20-APR-2020,9386.1,9394.35,9244.3,9285.4,1995750,191400,11654325,103275,4
NIFTY,20-APR-2020,9348.1,9372.0,9246.1,9285.0,260850,36300,11654325,103275,5
BANKNIFTY,21-APR-2020,19825.0,19880.0,19166.95,19333.85,1328720,198480,1482260,208420,0
BANKNIFTY,21-APR-2020,19884.45,19884.45,19200.0,19340.85,143360,8540,1482260,208420,1
BANKNIFTY,21-APR-2020,19800.0,19910.0,19240.0,19384.75,10180,1400,1482260,208420,2
NIFTY,21-APR-2020,9031.05,9066.9,8909.4,8971.6,9561600,163875,11836725,182400,3
NIFTY,21-APR-2020,9021.55,9100.05,8936.25,8996.8,2002875,7125,11836725,182400,4
NIFTY,21-APR-2020,9062.35,9085.15,8941.5,9000.8,272250,11400,11836725,182400,5
BANKNIFTY,22-APR-2020,19240.0,19837.8,19002.0,19677.4,1293940,-34780,1460260,-22000,0
BANKNIFTY,22-APR-2020,19239.65,19849.95,19020.0,19692.15,154020,10660,1460260,-22000,1
BANKNIFTY,22-APR-2020,19303.0,19872.5,19069.0,19728.0,12300,2120,1460260,-22000,2
